Samp,Signal,I,Q,R,Phi,,,,
361,-1151,-50.16,-37.13,62.41,-2.5,,,,
362,-787,-50.13,-36.61,62.08,-2.51,,,,
363,-568,-49.89,-36.3,61.7,-2.51,,,,
364,-579,-49.51,-36.17,61.32,-2.51,,,,
365,-809,-49,-36.3,60.98,-2.5,,,,
366,-1166,-48.54,-36.87,60.95,-2.49,,,,
367,-1527,-48.51,-37.81,61.5,-2.48,,,,
368,-1728,-49.12,-38.66,62.51,-2.47,,,,
369,-1726,-50.12,-38.97,63.49,-2.48,,,,
370,-1505,-50.98,-38.65,63.98,-2.49,,,,
371,-1150,-51.38,-38.05,63.93,-2.5,,,,
372,-786,-51.34,-37.53,63.6,-2.51,,,,
373,-569,-51.1,-37.22,63.22,-2.51,,,,
374,-580,-50.72,-37.08,62.83,-2.51,,,,
375,-809,-50.21,-37.21,62.5,-2.5,,,,
376,-1165,-49.75,-37.78,62.47,-2.49,,,,
377,-1526,-49.72,-38.72,63.01,-2.48,,,,
378,-1727,-50.32,-39.57,64.02,-2.48,,,,
379,-1725,-51.32,-39.88,64.99,-2.48,,,,
380,-1504,-52.19,-39.56,65.49,-2.49,,,,
381,-1150,-52.58,-38.95,65.44,-2.5,,,,
382,-788,-52.55,-38.43,65.1,-2.51,,,,
383,-570,-52.3,-38.12,64.72,-2.51,,,,
384,-578,-51.92,-37.98,64.33,-2.51,,,,
385,-810,-51.41,-38.12,64,-2.5,,,,
386,-1166,-50.94,-38.69,63.97,-2.49,,,,
387,-1525,-50.91,-39.62,64.51,-2.48,,,,
388,-1727,-51.52,-40.47,65.51,-2.48,,,,
389,-1725,-52.52,-40.78,66.49,-2.48,,,,
390,-1503,-53.38,-40.46,66.98,-2.49,,,,
391,-1149,-53.77,-39.86,66.93,-2.5,,,,
392,-786,-53.74,-39.34,66.6,-2.51,,,,
393,-568,-53.49,-39.02,66.22,-2.51,,,,
394,-578,-53.12,-38.89,65.83,-2.51,,,,
395,-810,-52.6,-39.02,65.49,-2.5,,,,
396,-1166,-52.14,-39.59,65.46,-2.49,,,,
397,-1524,-52.1,-40.52,66,-2.48,,,,
398,-1728,-52.71,-41.37,67.01,-2.48,,,,
399,-1725,-53.7,-41.68,67.98,-2.48,,,,
400,-1503,-54.57,-41.36,68.47,-2.49,,,,
401,-1150,-54.96,-40.75,68.42,-2.5,,,,
402,-788,-54.92,-40.23,68.08,-2.51,,,,
403,-570,-54.68,-39.92,67.7,-2.51,,,,
404,-579,-54.3,-39.78,67.31,-2.51,,,,
405,-808,-53.78,-39.91,66.97,-2.5,,,,
406,-1166,-53.32,-40.48,66.94,-2.49,,,,
407,-1526,-53.29,-41.41,67.49,-2.48,,,,
408,-1728,-53.89,-42.26,68.49,-2.48,,,,
409,-1725,-54.89,-42.57,69.46,-2.48,,,,
410,-1504,-55.75,-42.25,69.95,-2.49,,,,
411,-1151,-56.14,-41.64,69.9,-2.5,,,,
412,-787,-56.1,-41.12,69.56,-2.51,,,,
413,-568,-55.86,-40.81,69.18,-2.51,,,,
414,-579,-55.48,-40.67,68.79,-2.51,,,,
415,-810,-54.96,-40.8,68.45,-2.5,,,,
